00:00:35:12 00:00:37:22 灵将我们整合 ＂奥地利维也纳
00:00:55:04 00:01:05:12 第四次公开讲座 1982年9月30日
00:03:30:10 00:03:35:16 我向所有追求真理的人致敬
00:08:42:13 00:08:46:04 谅解去教育孩子
00:08:48:05 00:08:52:24 一般人都有这种想法，特别是那些
00:08:53:08 00:08:59:08 奉行要用洗脑的方法
00:09:00:00 00:09:03:20 去管教孩子的人
00:09:06:22 00:09:10:14 但这种洗脑的方法却会令孩子
00:09:11:11 00:09:12:04 有内疚这种滑稽可笑的毛病
00:09:18:23 00:09:22:18 同样，讨论内疚
00:09:22:24 00:09:29:15 这个题目的心理学家，并不了解
00:09:29:24 00:09:33:22 这种讨论的后果
00:09:39:11 00:09:45:05 当这些心理学家谈内疚
00:09:46:06 00:09:49:15 他们不知道这些是病理性的个案
00:09:50:01 00:09:53:00 这是不正常的，这是不正常的个案
00:09:53:11 00:09:55:23 当你开始概括地谈论这些不正常的个案
00:09:56:09 00:10:01:09 它便变成一般的疾病
00:10:13:02 00:10:15:24 他们与被邪灵附体的病人
00:10:16:10 00:10:19:07 一起工作，却没有任何
00:10:19:16 00:10:21:22 保护自己的措施
00:10:22:08 00:10:27:22 这就是他们染病的原因
00:10:33:18 00:10:37:04 一旦他们染上这种疾病
00:10:37:14 00:10:42:12 藉着说︰人发展内疚感，这是源自内疚感
00:10:42:23 00:10:45:13 那是源自内疚感
00:10:45:21 00:10:49:02 他们藉此更大范围的去扩散这种疾病
00:10:55:05 00:11:00:05 神以自己的形象来创造人类
00:11:04:05 00:11:07:14 人类不用无缘无故
00:11:07:20 00:11:10:23 感到内疚
00:11:12:21 00:11:15:20 若俗世人类的法官不能
00:11:16:04 00:11:20:09 判你有罪，那位充满慈悲的法官
00:11:20:18 00:11:25:09 又怎会判你有罪？
00:11:33:03 00:11:36:10 你由亚米巴原虫进化到这个阶段
00:11:39:10 00:11:43:05 神创造你为
00:11:43:22 00:11:47:20 整个创造的缩影
00:11:48:08 00:11:53:15 你竟然在这个阶段感到内疚
00:11:55:04 00:12:00:21 当他想你在这伟大的时刻
00:12:01:09 00:12:05:10 装饰你的灵的宝座，你却变得内疚 
00:12:06:03 00:12:08:14 这是非常令人失望
00:12:08:14 00:12:12:22 整件事都极之令人失望
00:12:21:16 00:12:26:06 你内在的进化，
00:12:26:20 00:12:32:06 不是要令你内疚
00:12:34:21 00:12:38:15 就如王子将要被加冕
00:12:39:04 00:12:41:16 成为国王，王子却突然停下来说：
00:12:41:23 00:12:47:15 「噢，我有罪，我不能成为国王。」
00:12:51:14 00:12:56:06 自怜比自杀更差劲
00:13:01:02 00:13:08:11 右脉的问题与左脉的刚刚相反
00:13:13:21 00:13:20:04 这类人说话充满侵略性
00:13:21:23 00:13:25:15 他的个性品格是既用说话
00:13:25:24 00:13:31:05 来打动人又用说话来奚落人
00:13:32:03 00:13:38:17 因此这类人形成很刻薄和枯燥乏味的个性
00:13:40:22 00:13:44:00 有一个牙医来见我。他是牙医
00:13:44:09 00:13:47:12 他告诉我：「母亲，我失去笑的能力
00:13:48:00 00:13:49:01 我现在不能笑
00:13:49:17 00:13:56:09 我的肌肉根本没有心情笑
00:14:03:01 00:14:07:21 我变得毫无情感，我不能笑亦不能哭。」
00:14:12:24 00:14:16:19 他因此去见一些圣人，所谓的圣人，圣人说：
00:14:17:03 00:14:21:12 「噢，你现在已经超越一切。」
00:14:25:11 00:14:29:14 我们对灵性上很伟大的人
00:14:29:21 00:14:33:24 就是有这种误解
00:14:38:02 00:14:43:07 这些伟大的人理应是慈悲的海洋
00:14:45:07 00:14:51:11 爱的海洋和宽恕的海洋
00:14:53:03 00:14:54:14 除此之外
00:14:55:00 00:14:59:19 最重要的是他应该能带给人喜乐，而非悲伤
00:15:01:15 00:15:05:08 通常我看到的圣人画像或
00:15:05:20 00:15:12:24 雕像，他们看来都是十分悲伤不快
00:15:16:13 00:15:22:02 一些艺术家、建筑师为教宗和
00:15:22:15 00:15:25:18 主教这些人物雕刻建造雕像，雕造出来的样子都是很悲伤
00:15:26:04 00:15:30:17 因此没有人想接替这些人物的位置
00:15:40:08 00:15:43:00 有时候，这些具侵略性的人
00:15:43:09 00:15:44:20 因为他们的侵略性
00:15:44:20 00:15:47:04 亦变得左脉
00:15:47:12 00:15:50:21 即使是他们与别人说话所采取的态度
00:15:57:17 00:16:00:01 他们也感到内疚
00:16:00:11 00:16:06:00 这样你两边的能量中心都会出问题
00:16:06:07 00:16:09:17 若能量中心不平衡，
00:16:10:01 00:16:14:04 你会患上脊椎炎
00:16:20:22 00:16:24:21 内疚感或富侵略性
00:16:25:05 00:16:28:06 都能产生这种情况
00:16:32:17 00:16:36:11 特别是若你感到内疚，便会患上
00:16:36:20 00:16:41:01 心绞痛这种心脏毛病
00:16:45:03 00:16:50:10 你的左手亦会变得僵硬
00:16:54:01 00:16:57:19 我已简短地向你们介绍了喉轮
00:16:58:04 00:16:59:18 今天我要讲解三个轮穴
00:17:00:04 00:17:05:02 亦想告诉你有关灵
00:17:11:02 00:17:15:12 喉轮之上是额轮
00:17:20:01 00:17:25:24 额轮是位于
00:17:26:15 00:17:30:18 脑垂体和松果体的区域
00:17:38:19 00:17:44:07 也正处于视觉神经丛
00:17:47:17 00:17:51:00 我额头这个记号
00:17:51:20 00:17:56:14 显示额轮的其中一扇窗
00:18:00:15 00:18:04:23 另一扇是在头的后部
00:18:06:04 00:18:09:20 这个能量中心是极之重要
00:18:10:06 00:18:14:10 因为它控制你的自我和超我
00:18:18:16 00:18:25:05 耶稣基督，我们的主耶稣就是住在这能量中心
00:18:29:09 00:18:34:12 很多牧师听到我这么说都很震惊
00:18:37:06 00:18:41:03 基督的十字架是象征自我和
00:18:41:12 00:18:47:10 超我在这儿交错的十字架，它们极之接近
00:18:52:09 00:18:56:04 这就是耶稣基督被安置
00:18:56:15 00:19:00:10 被赐予的位置。这是要透过他
00:19:00:21 00:19:04:03 被钉十字架来成就，藉此他精微的身体
00:19:04:16 00:19:08:20 进入我们的意识
00:19:18:15 00:19:20:15 耶稣基督在十字架上说：
00:19:20:15 00:19:24:09 「现在它已经建立巩固。」他说的
00:19:25:05 00:19:30:21 成就是建立巩固耶稣基督
00:19:31:10 00:19:33:21 在这个非常精微，非常
00:19:34:10 00:19:39:16 难进入的能量中心
00:19:56:10 00:20:01:15 他是，他的身体，他的身体是
00:20:01:24 00:20:06:07 由你们感受到的生命能量所构成
00:20:09:03 00:20:13:08 这些生命能量在梵文被称为
00:20:14:03 00:20:18:04 Om 或 Chaitanya
00:20:23:05 00:20:29:24 因为他是生命能量所构成，所以他能在水上行走
00:20:32:24 00:20:36:09 某天有人告诉我说
00:20:37:03 00:20:44:09 基督在某处诞生，现在他要上电视
00:20:47:03 00:20:49:12 我说：「最好叫他在水上行走
00:20:49:21 00:20:52:24 你便能找到他。」
00:20:57:21 00:21:00:05 这个建立巩固是很重要的
00:21:00:15 00:21:05:08 在钉上十字架的一刻，当他在那状态
00:21:05:19 00:21:08:22 他只说了一句话，这表示
00:21:09:05 00:21:12:08 某件事情要通过他被钉上十字架来成就完成。「它」
00:21:12:19 00:21:14:16 「他没有说一切都成就了」
00:21:14:22 00:21:19:15 他只说：「它已经成就了」
00:21:32:04 00:21:36:16 他谈及未来的圣灵
00:21:37:00 00:21:39:06 他会宽恕因为无知而
00:21:39:17 00:21:40:24 对他所做的一切
00:21:41:11 00:21:47:12 可是，他不会宽恕违抗反对圣灵的人
00:21:57:17 00:22:00:08 他说：「我会派一位顾问
00:22:00:19 00:22:03:09 向你们解释一切
00:22:03:19 00:22:09:19 我会派一位拯救者，来拯救你们
00:22:10:08 00:22:16:07 还会派一位安慰者，给你们安慰。」
00:22:25:04 00:22:26:19 第三件他说的是：
00:22:27:04 00:22:30:15 「你们要重生。」
00:22:32:22 00:22:37:03 在整本圣经中，只有他这样说
00:22:37:11 00:22:40:06 摩西和这些人，是他说：
00:22:40:14 00:22:44:16 「你们会重生。」
00:22:47:00 00:22:51:04 像我那天告诉过你，因为摩西和亚佰拉罕
00:22:51:14 00:22:56:14 忙于建立身体
00:22:56:21 00:22:59:12 这个绿色部分的平衡
00:23:07:07 00:23:09:22 只有基督说
00:23:10:07 00:23:15:10 唤醒你内在的基督，唤醒你的力量
00:23:15:17 00:23:19:13 就是重生
00:23:26:15 00:23:31:06 我们开始为人们施洗
00:23:33:18 00:23:35:17 你委派某人为牧师
00:23:36:03 00:23:38:01 找点水来
00:23:38:10 00:23:43:18 放在某人头上说：「你已经受洗了。」
00:23:48:08 00:23:51:13 这样做是那么人为做作
00:23:52:11 00:23:54:18 因为什么也没发生
00:23:55:06 00:23:59:24 你只放点水，任何人都能做到
00:24:02:03 00:24:04:19 真正的洗礼是你要提升灵量
00:24:05:05 00:24:08:18 要突破
00:24:13:10 00:24:15:17 基督没有说：「你拿点水
00:24:16:01 00:24:20:01 放在人们的头上」」，他有这样说过吗？
00:24:21:15 00:24:25:15 第二次出生要发生
00:24:28:09 00:24:29:12 第二次的出生
00:24:29:19 00:24:32:05 出生即是进化的过程
00:24:32:13 00:24:36:10 或你可说是活生生的生命过程要发生
00:24:40:10 00:24:45:16 梵文鸟儿被叫作Dvijaha
00:24:47:11 00:24:51:04 觉醒的灵也被叫作Dvijaha
00:24:54:04 00:24:57:06 即重生
00:24:57:21 00:25:00:18 像鸟儿首先是蛋
00:25:01:02 00:25:03:02 它在蛋壳里生长
00:25:03:13 00:25:06:02 成熟，最后破壳而出
00:25:06:11 00:25:09:06 鸟儿出生时个性已经转化
00:25:09:19 00:25:15:12 变成另一种东西，绝对与蛋完全不同的另一种东西
00:25:25:24 00:25:31:16 在复活节我们送蛋给人
00:25:33:14 00:25:35:14 来提醒他们，你们现在是蛋
00:25:36:00 00:25:39:07 你们要变成鸟儿
00:25:43:02 00:25:46:05 我不认为人们了解这一点
00:25:48:10 00:25:52:07 因为复活是基督的讯息
00:25:54:16 00:25:57:14 钉十字架是完成实现
00:25:58:02 00:26:01:10 而复活则是他的讯息
00:26:11:23 00:26:16:12 我就是不能了解，为何人们
00:26:16:19 00:26:20:18 令基督看来那么悲惨哀伤
00:26:26:04 00:26:29:23 他们显示基督皮包骨的
00:26:29:23 00:26:31:20 挂在十字架上
00:26:32:04 00:26:36:00 一副骨头怎能背负那么大的十字架？
00:26:44:15 00:26:47:23 米高安哲罗是绘画基督
00:26:48:05 00:26:53:05 如其人的觉醒的灵，基督是个巨人
00:26:59:10 00:27:05:20 健康、充满活力和喜乐
00:27:07:23 00:27:12:19 并非悲哀可怜的漫画角色
00:27:16:04 00:27:19:10 我想只有虐待狂才喜爱
00:27:19:18 00:27:21:21 见到别人悲伤
00:27:22:04 00:27:25:02 或许这就是原因，因为我在下面见到一副
00:27:25:10 00:27:27:19 被视作是基督，可怜兮兮的
00:27:28:04 00:27:32:21 骨头放在桌上
00:27:48:04 00:27:53:05 灵性生活绝不悲惨
00:27:56:24 00:28:04:15 基督来到世上是一件值得自豪的事
00:28:10:04 00:28:13:09 因为当他在我们内里被唤醒
00:28:13:17 00:28:17:15 他吸掉自我和超我
00:28:23:24 00:28:26:05 即是他带走我们一切思想制约
00:28:26:15 00:28:29:18 我们的行动和业(karmas)
00:28:33:08 00:28:36:00 用基督徒的说法
00:28:36:08 00:28:40:03 他吸掉我们的罪
00:28:41:05 00:28:43:09 他为我们而死
00:28:44:17 00:28:47:09 他经历一切苦难
00:28:50:07 00:28:54:24 没有留下任何苦难让我们来经历
00:28:56:09 00:29:01:24 现在没有人需要悲伤
00:29:02:20 00:29:06:01 例如，犹太人说：「噢！我们... 
00:29:06:16 00:29:09:01 他们否定基督，因此他们说：
00:29:09:01 00:29:12:02 「噢！我们要有苦难
00:29:17:11 00:29:20:10 我们要受苦。」
00:29:21:02 00:29:23:10 所以他们好好地受苦
00:29:23:17 00:29:25:16 因此希特勒出现，让他们能受苦
00:29:25:22 00:29:29:19 他们以为这是宗教虔敬的生活，对吗？
00:29:37:17 00:29:40:01 今天，这一群曾受苦的人
00:29:40:11 00:29:43:12 走向另一端。他们做尽一切
00:29:43:20 00:29:49:20 跟他们的宗教没有关系的事情
00:29:58:13 00:30:01:16 因为最重要的诫律中最重要的是：
00:30:02:00 00:30:06:24 「你不能杀人。」
00:30:10:00 00:30:13:11 你如何解释这基督徒部队
00:30:13:19 00:30:19:04 以基督的名义杀掉那么多无助的人？
00:30:23:01 00:30:25:01 小孩子
00:30:25:21 00:30:31:19 天真的小孩子、妇女，他们并无犯任何罪
00:30:36:01 00:30:38:07 以神之名，以基督之名
00:30:38:19 00:30:43:06 以穆罕默德之名，这些人只是施展
00:30:43:13 00:30:47:05 他们的虐待狂
00:30:56:04 00:30:58:15 那些爱心和
00:30:58:23 00:31:03:21 神的怜悯的字眼在哪里？
00:31:05:20 00:31:07:10 穆罕默德谈及Rahamat
00:31:07:18 00:31:10:07 常常谈及Rahamat，他称神为Rahim
00:31:10:15 00:31:11:21 Rahamat即是慈悲
00:31:12:05 00:31:16:07 Rahim是慈悲的化身
00:31:23:08 00:31:27:05 人们难以理解这些国家
00:31:27:13 00:31:29:20 他们对神，对降世神祇做了些什么
00:31:30:05 00:31:33:09 没有人能解释
00:31:40:07 00:31:44:12 佛陀的追随者，像日本人和中国人
00:31:44:18 00:31:47:18 他们做着什么？
00:31:52:07 00:31:54:22 摩诃维瓦(Mahavira)的追随者，变成
00:31:55:05 00:31:59:10 极端的素食者。他们甚至连街上的蚊子
00:31:59:19 00:32:05:05 和小虫也想拯救
00:32:12:03 00:32:14:19 他们愚蠢到让一些虫子
00:32:15:03 00:32:18:16 吸食觉醒的灵的血
00:32:18:23 00:32:23:11 只为让虫子能得到自觉
00:32:32:21 00:32:36:03 我们要知道，这种荒谬的素食主义
00:32:36:10 00:32:40:24 我们是否要给鸡自觉？
00:32:47:19 00:32:51:22 我们对动物，对桌椅比对
00:32:52:07 00:32:55:22 自己的孩子更仁慈
00:33:01:00 00:33:06:11 人类走错了方向
00:33:08:23 00:33:11:10 正确的方向是在中央
00:33:12:06 00:33:16:15 等待最后的升进
00:33:23:12 00:33:25:09 当灵量上升
00:33:25:18 00:33:28:17 它带你通过这道基督之门
00:33:28:24 00:33:30:12 通过他是唯一的途径
00:33:30:20 00:33:33:06 因此我说人人都要通过他
00:33:33:18 00:33:36:04 进入神的国度
00:33:36:13 00:33:40:05 那是你内在的边缘系统
00:33:56:16 00:34:02:11 自我和超我代表你的过去和未来
00:34:05:06 00:34:07:21 一个思绪出现，离去，另一个思绪出现
00:34:08:06 00:34:10:23 再离去
00:34:12:20 00:34:16:12 一是过去，一是将来
00:34:17:04 00:34:22:15 我们的思维游走于思绪之间
00:34:25:05 00:34:28:24 我们要在这两个思绪中央
00:34:29:11 00:34:34:00 即现在
00:34:37:14 00:34:39:15 单单只在演讲时说：
00:34:40:00 00:34:45:18 「你们要在中央」，是不能达到的
00:34:49:12 00:34:54:03 藉着演讲、派襟章、成立组织
00:34:54:13 00:34:57:20 或张贴某些明信片
00:34:58:06 00:34:59:18 在头上
00:34:59:24 00:35:03:22 是不能达到的
00:35:13:03 00:35:16:05 所有诚实的求道者要知道，这全是外在的
00:35:16:16 00:35:21:16 与内里毫不相干
00:35:27:07 00:35:30:17 若你是真正的求道者，你便知道这些
00:35:31:03 00:35:34:19 都是纵容自我
00:35:39:17 00:35:43:13 也是十分误导的
00:35:45:17 00:35:50:02 我们要以正确的观点
00:35:50:18 00:35:56:16 以人类恰当的智慧去了解
00:36:01:16 00:36:04:00 当你穿越你的额轮
00:36:04:09 00:36:08:15 便会变得无思无虑
00:36:14:16 00:36:20:13 因为你把你的注意力建立巩固在现在
00:36:27:11 00:36:29:15 我要重申一点
00:36:30:04 00:36:31:10 这并非人为虚构的
00:36:31:23 00:36:33:15 而是实现实践要发生
00:36:34:03 00:36:37:18 它要在你们内里发生
00:36:41:23 00:36:45:10 你的意识知觉要被启发开悟。不是只说：
00:36:45:20 00:36:47:01 「我是个觉醒的存在体」
00:36:47:07 00:36:51:16 给自己发假证书
00:36:58:21 00:37:01:23 当灵量通过顶轮这个最后的轮穴
00:37:01:23 00:37:04:05 千块花瓣
00:37:04:19 00:37:09:24 开启进入神的精微力量
00:37:10:10 00:37:14:06 进入他的爱和慈悲之中
00:37:25:07 00:37:28:14 此时，你变得无思无虑
00:37:29:02 00:37:35:06 处于完全喜悦，完全放松的状态
00:37:43:23 00:37:47:04 透过凉风，你首次感受到
00:37:47:16 00:37:52:03 全能的力量
00:37:54:09 00:37:59:06 这是可兰经中被描述为“Ruh”
00:38:00:06 00:38:04:10 在印度经典叫作
00:38:06:13 00:38:11:23 ”Chaitanya Lahari”的圣灵的凉风
00:38:13:23 00:38:18:12 即知觉的波浪
00:38:19:15 00:38:25:01 亦可说是开悟了的知觉的波浪
00:38:28:06 00:38:30:11 很多很多用梵文写的书籍
00:38:30:21 00:38:32:15 有相关的记载
00:38:35:24 00:38:39:15 但它们并没有翻译出来
00:38:40:10 00:38:44:05 有些人到印度学习梵文
00:38:48:03 00:38:53:06 他们却只对文化的漏洞感兴趣
00:38:55:03 00:38:59:04 就像盗贼只对银行的漏洞感兴趣
00:38:59:17 00:39:01:14 他们去那里学习了解，以印证他们
00:39:02:02 00:39:05:20 取得的银行弱点漏洞
00:39:14:16 00:39:19:13 在印度六世纪后期
00:39:20:18 00:39:26:05 一场称为性力派(tantrism)反神的大型起义发生
00:39:34:15 00:39:40:03 侮辱神祇，不神圣的行为被视为
00:39:40:23 00:39:46:03 性力派的象征
00:39:50:11 00:39:54:03 他们的行为令神祇
00:39:55:02 00:40:01:20 感到嫌恶，因而消失
00:40:04:05 00:40:07:21 他们在周围制造了一个地带，把一切
00:40:08:03 00:40:12:07 邪恶负面的力量集合，以供他们使用
00:40:17:15 00:40:22:12 梵文称这为bhoota vidya(魔鬼的知识)
00:40:22:21 00:40:26:14 preta vidya(邪恶的知识)等等，简单地说
00:40:27:02 00:40:30:21 即是坟墓的知识
00:40:40:07 00:40:43:16 请不要骚扰他人
00:40:45:20 00:40:50:10 那些想诱骗催眠别人
00:40:50:22 00:40:54:02 想赚钱的人学习运用这些知识
00:40:54:11 00:40:57:18 这些科学
00:41:05:08 00:41:07:19 到那里的人只学习
00:41:08:01 00:41:10:10 色情和肮脏的东西，这些污秽不堪的东西
00:41:11:04 00:41:14:16 对那里的哲学是毫无意义
00:41:20:15 00:41:23:13 我与女儿到过尼泊尔两次
00:41:23:21 00:41:27:19 我们没见过有什么不对劲
00:41:31:22 00:41:35:07 但有个霎哈嘉瑜伽士告诉我，尼泊尔是
00:41:35:16 00:41:41:12 充满这些…色情的雕像
00:41:48:00 00:41:51:03 我问：「它们在哪里？我看不到。」
00:41:52:23 00:41:58:06 他说：「看看那儿，在庙宇的屋顶。」
00:42:01:00 00:42:03:12 这些日本人都把对焦镜头
00:42:03:19 00:42:06:14 向着屋顶观看
00:42:10:21 00:42:18:12 他们带来专用的梯子
00:42:20:01 00:42:21:15 用来爬高专用的梯子
00:42:22:07 00:42:27:17 去拍摄特别的脑袋特别的照片
00:42:38:22 00:42:42:05 尼泊尔人告诉我，这些蠢人
00:42:42:15 00:42:48:02 在做着不神圣，神圣不可侵犯的事情
00:42:55:13 00:42:59:03 他们不知何谓神圣
00:43:00:15 00:43:02:03 我说：「并非如此
00:43:02:11 00:43:03:06 他们本来有的，但现在却失去了
00:43:03:20 00:43:05:02 他们可以从中赚钱。」
00:43:13:14 00:43:15:08 他们感到惊讶，说：
00:43:17:21 00:43:18:00 「谁会购买这些不吉祥的东西回家？
00:43:18:00 00:43:20:19 它们会把邪灵带回家。」
00:43:29:09 00:43:33:10 这些性力术士说服了可怜的艺术家
00:43:33:22 00:43:37:00 告诉他们把这些雕像放在庙宇的屋顶
00:43:37:10 00:43:43:24 好使是处女的雷神…
00:43:44:05 00:43:48:24 不会走近这儿
00:43:48:24 00:43:50:19 因为它是那么肮脏，明白吗
00:44:09:23 00:44:16:10 我们要明白，神是纯洁
00:44:18:24 00:44:21:23 他既圣洁
00:44:23:21 00:44:26:20 又神圣
00:44:27:07 00:44:29:12 他是神圣
00:44:29:21 00:44:34:13 有了这个概念，我要告诉你们神圣
00:44:34:23 00:44:39:08 你们内在的圣洁
00:44:45:23 00:44:49:03 内在的美
00:44:51:06 00:44:54:15 内在的喜悦
00:44:56:15 00:45:00:20 看顾着你的光
00:45:03:15 00:45:06:18 就是你的灵
00:45:07:08 00:45:12:19 它是全能的神在你内心的反映
00:45:14:21 00:45:20:17 圣灵是全能的神的力量
00:45:25:13 00:45:30:10 神是静观圣灵这出戏剧的旁观者
00:45:32:14 00:45:36:18 基督的母亲正是圣灵的化身
00:45:40:10 00:45:43:17 圣经却没有提及这些，因为若
00:45:43:24 00:45:46:06 罗马人和犹太人知道她就是圣灵
00:45:46:20 00:45:51:24 他们会把她碎尸万段
00:45:59:15 00:46:02:09 攻击她
00:46:02:20 00:46:08:00 没有提及是因为基督要
00:46:08:09 00:46:11:24 上演钉十字架这出戏剧
00:46:16:24 00:46:20:11 在你获得自觉后
00:46:20:19 00:46:23:08 可以通过感知能力发现我说的
00:46:23:20 00:46:28:08 都是绝对的真理
00:46:33:10 00:46:36:07 因为你的灵是绝对的
00:46:36:20 00:46:40:12 所以能给你绝对的答案
00:46:43:15 00:46:46:17 它不会给你相对的答案
00:46:49:16 00:46:53:20 它把你带离相对的世界
00:46:56:07 00:47:00:14 通过你的新感知力
00:47:00:23 00:47:04:07 即是生命能量的感知
00:47:08:13 00:47:13:19 你知道绝对。我们可说是圣化的感知，神圣的感知
00:47:15:10 00:47:18:08 当灵量冲上这一点
00:47:22:24 00:47:25:00 她开悟了灵
00:47:25:10 00:47:30:11 因为灵的宝座就在这里
00:47:33:05 00:47:39:07 我们的脑袋里，所有七个能量中心
00:47:41:14 00:47:46:15 是这样排列的，所有能量中心的宝座都在脑袋里
00:47:47:21 00:47:51:21 所以当灵量在这个能量中心走出来
00:47:52:02 00:47:57:00 所有能量中心都得到整合
00:48:01:00 00:48:05:15 因为灵把你们整合
00:48:07:07 00:48:11:02 就像若这房间没有灯
00:48:11:10 00:48:17:04 你便要四处摸黑
00:48:21:13 00:48:23:10 当有了灯，你便知道
00:48:23:18 00:48:27:16 自己身处何方
00:48:31:15 00:48:35:18 因此相对性消失了
00:48:39:19 00:48:43:08 当你成为灵
00:48:44:10 00:48:47:11 你的注意力被启发
00:48:47:19 00:48:52:04 为集体意识：它成为
00:48:59:05 00:49:05:07 因为你内里的灵是集体的存在体
00:49:07:14 00:49:12:15 每个人的灵都互相联系
00:49:15:00 00:49:19:09 它发放的讯息是集体讯息
00:49:25:12 00:49:30:03 现在，当你把手向着自己
00:49:30:11 00:49:35:18 为自己的能量场做保护
00:49:36:01 00:49:40:01 你便能找出自己的毛病
00:49:48:21 00:49:52:03 若是肉身和心理的不平衡
00:49:52:11 00:49:59:03 便会显现在右手手指的不同能量中心
00:50:06:05 00:50:11:19 若是情绪出问题，便显现在左手
00:50:14:12 00:50:18:17 你能解读接收到的生命能量的感应
00:50:19:01 00:50:24:06 亦能验证一切
00:50:28:20 00:50:30:10 坐在这里
00:50:30:10 00:50:33:18 你能感应任何人的生命能量
00:50:40:01 00:50:45:05 某天我说莫扎特是天生有自觉的人
00:50:49:04 00:50:53:16 他们说：「我们怎能知道？」
00:50:55:01 00:51:02:16 我说：「只是张开双手，想着莫扎特」
00:51:03:07 00:51:09:19 立即有很强的能量在流动
00:51:10:14 00:51:13:13 当这些觉醒的灵弹奏音乐
00:51:14:01 00:51:18:19 或绘画图画，对觉醒了的人来说
00:51:19:03 00:51:23:04 这是喜乐最大的来源 
00:51:29:13 00:51:33:01 因为你不用思考
00:51:33:19 00:51:38:09 喜乐的创造者的精华
00:51:38:18 00:51:41:07 与你融合合一
00:51:47:24 00:51:52:11 你感到极乐在你内里流动
00:51:54:06 00:51:59:24 因为喜乐所以你享受
00:52:02:00 00:52:06:05 因为灵是你内里的喜乐
00:52:07:08 00:52:10:19 灵是喜乐，意思是它既不是快乐
00:52:10:19 00:52:17:00 也不是不快乐，它单纯是喜乐
00:52:21:01 00:52:23:10 当自我被纵容，你便快乐
00:52:23:17 00:52:28:11 当超我受伤，你便不快乐
00:52:33:03 00:52:35:16 你摆脱这种二元性
00:52:36:00 00:52:38:15 而成为喜乐，喜乐是单一的
00:52:38:23 00:52:44:00 因为你成为戏剧的静观者
00:52:48:07 00:52:51:03 不再牵涉其中
00:52:56:03 00:52:58:23 就如你在水中
00:53:00:20 00:53:04:11 因为你看到四周的波浪
00:53:05:14 00:53:09:01 所以害怕会被水淹死
00:53:10:10 00:53:14:12 但若你上了船
