00:00:09:20 00:00:14:07 作为一个母亲，看到这么多霎哈嘉瑜伽士，我感到很自豪
00:11:05:11 00:11:06:23 他说︰「我在给母亲能量。」
00:11:07:04 00:11:08:19 他们在一段距离外看着
00:11:08:24 00:11:11:10 「我颤抖是因为我在给她能量。」
00:11:11:16 00:11:13:15 他是说这种颤抖是在给我能量！
00:11:14:16 00:11:17:24 但这个女士应该知道，当你颤抖
00:11:18:07 00:11:20:05 即是你有点不妥
00:11:21:03 00:11:23:16 她说：「现在我会给你
00:11:23:22 00:11:25:24 母亲同样的力量。」
00:11:26:06 00:11:28:03 那是霎哈嘉瑜伽的初期
00:11:28:09 00:11:30:03 很早期
00:11:30:10 00:11:34:08 现在你最好献上祭品(Yagya)Hom
00:11:34:13 00:11:36:11 你们都要带
00:11:36:16 00:11:39:05 四分一托拉(印度金银之重量单位)的黄金来
00:11:39:12 00:11:41:19 大约是10公克的金 
00:11:42:18 00:11:44:23 把金给我
00:11:45:06 00:11:47:15 这就是他的目的的开始
00:11:49:07 00:11:51:07 他们所有的金钱，所有的财产
00:11:51:14 00:11:53:06 他用各种方法，榨取了他们的一切
00:11:54:00 00:11:57:20 有一次我从德里到孟买
00:11:58:12 00:12:00:01 我遇见她的姊妹
00:12:00:08 00:12:02:04 她跪在我的脚前哭
00:12:02:06 00:12:03:10 我问：「什么事？」
00:12:03:17 00:12:06:00 她说：「母亲，这家伙洗劫了我们。」我说：「谁？」
00:12:06:07 00:12:07:24 「Anna Maharaj。」我说：「如何？
00:12:08:05 00:12:10:12 那天你看到他颤抖
00:12:10:18 00:12:12:01 就是这样。」
00:12:12:08 00:12:17:04 这个对她说大谎话的家伙
00:12:17:10 00:12:19:14 愚弄她
00:12:19:21 00:12:22:04 若她能看到这个人的生命能量
00:12:24:06 00:12:25:18 便不会出问题
00:12:26:00 00:12:28:12 霎哈嘉瑜伽士就是忘记
00:12:28:19 00:12:31:09 他们是先知，他们拥有力量
00:12:31:16 00:12:35:14 他们的力量是他们的灵，是他们的生命能量
00:12:35:21 00:12:39:23 他们时常忘记自己
00:12:40:03 00:12:42:19 有了新的感知力，生命能量的感知
00:12:43:00 00:12:45:12 我们要用能量来判断一切
00:12:45:18 00:12:48:11 所有先知都是只有这一个缺点
00:12:52:20 00:12:54:07 若这不是真理
00:12:54:13 00:12:57:00 我知道我是非常纯真，头脑简单
00:12:57:06 00:12:59:05 我完全不懂世情
00:12:59:12 00:13:02:01 你看，我不懂人的狡猾
00:13:02:07 00:13:04:18 不明白他如何能四处撒谎等等
00:13:04:23 00:13:10:08 但透过生命能量，我绝对知道事情是怎么样
00:13:10:15 00:13:12:00 你或许能用你的狡猾
00:13:12:06 00:13:14:18 用你的聪明
00:13:15:00 00:13:17:10 用你独有的敏锐来告诉我任何故事
00:13:17:16 00:13:19:10 但我却知道你的目的
00:13:19:16 00:13:21:20 我是透过生命能量来知道
00:13:22:04 00:13:23:21 若不是透过生命能量，我是很简单
00:13:24:04 00:13:27:03 不懂怎样理性化，不明白任何事
00:13:27:09 00:13:29:09 但藉着能量，我知道你的目的
00:13:29:16 00:13:32:10 同样你们要发展生命能量的感知力
00:13:32:17 00:13:35:03 这种敏感度，尝试用感知力
00:13:35:08 00:13:37:02 来了解事情
00:13:37:10 00:13:44:10 若你能做到，你会成为完美的先知
00:13:46:21 00:13:48:07 你会是完美的先知
00:13:48:14 00:13:52:09 你会发现我们之中有些人
00:13:52:16 00:13:55:04 并未达到水平
00:13:55:13 00:13:57:16 永远不要信任这些人
00:13:57:23 00:14:00:15 永远不能信任他们，因为他们很肤浅
00:14:00:22 00:14:03:07 他们或许一是变得负面，一是变得正面
00:14:03:14 00:14:04:23 所以不要信任他们
00:14:05:04 00:14:09:01 对他们要谨慎一点
00:14:10:07 00:14:11:23 一旦他们变得妥当
00:14:12:05 00:14:16:20 你可以把他们带到你们的范围
00:14:17:03 00:14:19:06 例如最近有一个女孩
00:14:20:04 00:14:22:03 嫁了一个伟大的霎哈嘉瑜伽士
00:14:23:02 00:14:25:09 只因他说他爱她，说了一些无聊荒唐的话
00:14:25:16 00:14:27:05 因此我说：「好吧，巴巴，你与她结婚。」
00:14:27:10 00:14:29:22 但我知道这不是个好人，但可以说什么？
00:14:31:20 00:14:36:13 之后这女士尝试，事实是她与我一起外游
00:14:36:20 00:14:39:19 她甚至尝试把她的
00:14:40:01 00:14:42:12 亡灵附在我的心
00:14:42:18 00:14:43:22 她两次这样做
00:14:44:04 00:14:47:17 非常狡猾，她内里的亡灵非常狡猾
00:14:47:23 00:14:53:04 当她回到澳洲
00:14:53:09 00:14:55:19 她演了一场戏，令人以为：
00:14:56:00 00:14:58:06 「噢，她是那么缺乏安全感
00:14:58:12 00:15:01:11 她的丈夫不关心她等…」
00:15:03:09 00:15:05:00 试想像
00:15:06:05 00:15:08:05 可以令整个集体静室的人都迷失
00:15:10:00 00:15:12:12 但我知道有些事情发生了，所以我打长途电话给他们
00:15:12:20 00:15:15:00 我立即发现，告诉他们：
00:15:15:07 00:15:17:05 「看看她的生命能量！」
00:15:20:19 00:15:23:04 他们说：「母亲，我们发现不到她有任何问题。」
00:15:23:12 00:15:25:24 即是说他们一直没有留意她的生命能量
00:15:26:06 00:15:28:01 因为当失去了生命能量
00:15:28:07 00:15:29:19 你什么也感觉不到
00:15:30:02 00:15:31:23 她已经把他们吞噬到
00:15:32:23 00:15:35:12 不能对她有任何感觉
00:15:35:20 00:15:37:03 你能想象吗？
00:15:38:04 00:15:39:24 我理性地问︰
00:15:41:22 00:15:48:24 「你能取代华伦的妻子吗？」
00:15:50:18 00:15:52:11 他们大吃一惊
00:15:55:06 00:15:57:23 所以我们要非常非常的小心
00:15:58:05 00:16:02:18 对肤浅未成熟的人要极之小心
00:16:02:24 00:16:05:16 他们常常想把你拉下
00:16:05:23 00:16:09:00 肤浅的人常常想把你拉下
00:16:09:07 00:16:11:15 除非你够坚持去把他们拉上
00:16:11:22 00:16:15:12 因为他们没有这样做，没有察觉到
00:16:15:19 00:16:21:02 他们受这些人影响
00:16:21:10 00:16:22:23 当他们做某些事情
00:16:23:04 00:16:27:02 他们想做的全是反神的活动
00:16:27:24 00:16:31:10 另一件我要告诉你的事情是发生在
00:16:39:15 00:16:41:07 日内瓦
00:16:42:05 00:16:45:09 开始时我没有公开的说某个人
00:16:46:00 00:16:48:07 我没公开的说是因为
00:16:48:13 00:16:49:16 这是不恰当的
00:16:49:23 00:16:52:05 给他们机会，他们便能迎上前
00:16:52:11 00:16:55:08 自会成就，没问题的
00:16:55:16 00:16:56:20 我能应付
00:16:57:02 00:16:59:23 但当麻烦事变成集体的事情
00:17:00:04 00:17:02:09 便要公开地说
00:17:02:14 00:17:05:20 你要明白，因为这些人会向一些人
00:17:06:02 00:17:07:24 说一些事，向另一些人说另一些事
00:17:08:04 00:17:09:04 再向第三个人说另一些事
00:17:09:10 00:17:11:03 所以你要非常有警觉性
00:17:11:12 00:17:13:17 他们自己却完全意识不到
00:17:13:23 00:17:15:05 这就是最精彩的部分
00:17:15:11 00:17:16:24 他们察觉不到自己在做着怎样的事情
00:17:17:06 00:17:20:03 就如日内瓦的这个女士，她不停的问每一个人︰
00:17:20:09 00:17:23:00 「你觉得甲先生或乙先生怎么样？」
00:17:23:22 00:17:27:16 好吧，你因此说了一些话，若你说了些负面的话
00:17:27:22 00:17:29:12 她便抓住你的话来作把柄
00:17:32:06 00:17:35:14 前天当雷告诉我巴美拉
00:17:35:21 00:17:39:21 一些好事时，我很高兴
00:17:40:21 00:17:43:15 他说︰「巴美拉很有艺术天赋。」
00:17:43:22 00:17:46:07 当你开始看到别人的长处时
00:17:46:13 00:17:47:17 便能令我欢愉
00:17:47:23 00:17:50:04 令我快乐，给我喜乐
00:17:50:12 00:17:53:04 但若你开始看到别人的短处
00:17:54:12 00:17:56:00 我就不喜欢
00:17:56:07 00:18:00:22 当然有时我也会考验你
00:18:01:03 00:18:03:17 有时我会故意说︰
00:18:03:24 00:18:06:00 「雷有些不妥当。」
00:18:07:00 00:18:08:06 我或许会这样说
00:18:08:13 00:18:11:07 我知道什么是对什么是不对
00:18:11:13 00:18:15:00 这样说只为评价你怎样评价别人
00:18:16:02 00:18:18:13 若你支持他
00:18:19:15 00:18:21:18 做的好事
00:18:22:10 00:18:24:08 我便知道你妥当
00:18:24:14 00:18:27:02 我喜欢你，欣赏你
00:18:27:07 00:18:29:07 我真的因此佩服你
00:18:29:13 00:18:31:18 无论什么是真理，你都要告诉我
00:18:32:01 00:18:33:19 因为我知道真理
00:18:34:17 00:18:36:03 我只是在你周糟玩耍
00:18:36:09 00:18:38:10 看看你认为别人是怎么样
00:18:39:09 00:18:42:18 所以要试试看看别人的长处
00:18:42:24 00:18:46:15 有一点你要明白
00:18:46:21 00:18:48:22 若一个人好争辩
00:18:50:20 00:18:53:17 想控制你---
00:18:53:22 00:18:55:11 伯明翰就有这个问题
00:18:55:18 00:18:57:17 我仍未揭露它或把它说出
00:18:57:23 00:19:00:15 我仍保留这个秘密，我在告诉人
00:19:00:23 00:19:02:23 伯明翰有问题
00:19:04:00 00:19:06:16 问题来自一个连他自己
00:19:06:22 00:19:08:09 也意识不到这个问题的人
00:19:09:04 00:19:11:18 我会与这个人谈谈，告诉他
00:19:12:00 00:19:14:08 要摆脱这个问题
00:19:14:15 00:19:17:15 若他不能，我便会公开的说
00:19:21:21 00:19:25:12 因为我不想失去伯明翰的中心
00:19:25:19 00:19:27:04 我们会失去日内瓦的中心
00:19:27:11 00:19:29:07 我告诉你我们会失去它
00:19:30:11 00:19:33:00 每个人都互相攻击
00:19:33:06 00:19:37:03 因此产生大问题，因一个人而产生问题
00:19:38:03 00:19:41:07 虽然你们已经成熟
00:19:42:11 00:19:45:10 但你们仍不大有集体意识
00:19:45:19 00:19:48:04 仍不懂互相欣赏
00:19:48:10 00:19:49:20 你们全是一体
00:19:50:21 00:19:54:05 不仅是互相欣赏，而是不能没有对方
00:19:56:16 00:20:00:19 英式的性格品质是既缓慢亦稳定
00:20:01:12 00:20:04:12 这是很好的性质，但它可以是很慢
00:20:07:15 00:20:12:24 你必须缓慢而稳定的升起，超过自己的躯壳
00:20:14:00 00:20:17:01 看到另一个霎哈嘉瑜伽士的美
00:20:18:01 00:20:21:00 看到别人的长处
00:20:21:05 00:20:22:07 这样你便能吸收别人的长处
00:20:22:13 00:20:24:14 有些人有些能耐
00:20:26:10 00:20:30:20 很令人惊讶，我与巴美拉谈及雷
00:20:31:02 00:20:32:24 她很赞赏他
00:20:33:06 00:20:36:11 这真的令我极之快乐
00:20:36:17 00:20:39:16 虽然我要说布莱顿昨天的讲座
00:20:39:22 00:20:42:12 并不怎样成功
00:20:42:19 00:20:44:20 很少人来，但不要紧
00:20:46:09 00:20:47:21 看到霎哈嘉瑜伽士
00:20:48:03 00:20:51:05 互相欣赏能给我很多力量
00:20:52:08 00:20:54:04 有人出问题
00:20:54:11 00:20:58:08 例如偏左脉的人常常在我的讲座里出问题
00:20:58:15 00:20:59:24 他们睡着了
00:21:00:05 00:21:02:14 很自然，入睡了，他们会这样
00:21:09:20 00:21:11:06 不管如何都不要紧
00:21:11:12 00:21:13:10 即使他们睡着，我也能洁净他们
00:21:14:18 00:21:16:04 当我为他们洁净
00:21:16:11 00:21:19:15 我自己也要入睡才能进入他们，明白吗？
00:21:19:20 00:21:22:14 所以阻力就在于此，不要紧，它会迎上前
00:21:22:21 00:21:24:21 有方法途径能解决
00:21:25:20 00:21:28:01 对我这并不大重要
00:21:28:07 00:21:31:01 重要的是你入睡有否
00:21:32:01 00:21:33:24 影响其他人
00:21:36:15 00:21:38:11 其他霎哈嘉瑜伽士？
00:21:39:12 00:21:41:09 你对他们有多警觉？
00:21:42:22 00:21:47:02 他们就像你的双手，双眼，鼻子，你的一切
00:21:47:08 00:21:48:20 你们全是一体
00:21:49:00 00:21:50:23 没有对方，你们什么也做不了
00:21:51:24 00:21:54:11 因为你们是唯一
00:21:54:16 00:21:57:07 有眼睛去看
00:21:58:09 00:22:00:15 唯一有意识的人
00:22:04:00 00:22:05:11 我们不是少数
00:22:06:11 00:22:08:16 我们以为自己是少数
00:22:09:06 00:22:11:13 或许其他导师有
00:22:11:19 00:22:13:24 上千门徒，但他们却一无事处
00:22:14:05 00:22:15:21 就如他们来了去了
00:22:16:02 00:22:20:19 或许增添了些无聊事
00:22:22:23 00:22:24:22 但他们都没有意识
00:22:27:05 00:22:29:02 你却有意识
00:22:30:03 00:22:32:20 一方面，你要把不大
00:22:33:01 00:22:36:03 有意识的人拉出来
00:22:37:02 00:22:39:11 另一方面，你要欣赏
00:22:39:17 00:22:41:02 更有意识的人
00:22:44:10 00:22:46:14 我们就是要
00:22:47:19 00:22:50:04 理解这一点
00:22:51:23 00:22:54:19 我要告诉你，你要说多一点
00:22:56:01 00:22:58:09 若你要公牛移动，明白吗？
00:22:59:06 00:23:01:00 说比你能说的多一点
00:23:01:06 00:23:02:22 因为你说什么也不多
00:23:03:02 00:23:04:17 这就是无限
00:23:08:20 00:23:11:21 你也不要说得太过分，令他们承受不了
00:23:12:02 00:23:17:09 就像华伦有一个经历，我告诉他︰
00:23:17:13 00:23:19:18 「只告诉霎哈嘉瑜伽士，不要告诉其他人
00:23:19:23 00:23:21:11 因为他们不会相信。」
00:23:22:09 00:23:24:01 他的车没汽油
00:23:24:09 00:23:26:11 他要到一处做宣传活动
00:23:27:10 00:23:28:22 他四处去做宣传
00:23:29:24 00:23:31:22 八天了
00:23:32:02 00:23:35:06 当他回来，汽油用光
00:23:35:13 00:23:37:11 为他加油的家伙说︰
00:23:37:17 00:23:40:06 「你的油箱充满油，为何你还要加油？」
00:23:42:01 00:23:43:05 为何不能？
00:23:49:05 00:23:50:06 这是可能发生的
00:23:50:14 00:23:53:01 但不要告诉任何人，因为他们只会说
00:23:53:07 00:23:55:18 这是荒唐无稽的故事，你明白
00:23:57:22 00:24:02:07 你曾经听过五饼二鱼的故事
00:24:03:01 00:24:05:05 因为圣经说的，所以我们相信
00:24:05:10 00:24:06:15 为何今天却不相信？
00:24:08:14 00:24:10:22 你看过很多这样的事情发生
00:24:11:03 00:24:13:21 我是说你一生中有很多这种事件
00:24:14:03 00:24:16:16 但若你告诉他们这些事件，他们不会相信
00:24:16:24 00:24:22:09 你的智慧是
00:24:22:15 00:24:25:23 你相信自己在神的国度里，他是全能的
00:24:26:23 00:24:28:12 他会给你一切
00:24:28:17 00:24:31:01 你要求向往的东西
00:24:36:02 00:24:38:04 我知道人们不相信，这是事实
00:24:40:03 00:24:44:07 你能得到任何渴望得到的东西
00:24:45:08 00:24:47:10 若你告诉人，他们不会相信
00:24:47:16 00:24:50:02 对霎哈嘉瑜伽士而言
00:24:50:07 00:24:52:06 你要作出公开
00:24:52:13 00:24:56:16 而毫无保留的陈述
00:24:56:23 00:24:58:12 充满信心的
00:25:00:15 00:25:02:20 因为没有好的训练
00:25:03:01 00:25:06:07 便会缺乏自信
00:25:07:11 00:25:10:24 充满信心的︰「对，是这样的！是那样的！
00:25:11:04 00:25:12:15 就是这样！」
00:25:20:14 00:25:26:15 就像当我首次到印度，白女士
00:25:26:21 00:25:28:20 你也知道这个年长的女士，一个印度女士
00:25:30:02 00:25:31:16 他们对一切都有点害羞
00:25:32:00 00:25:34:01 她高举双手在空中
00:25:34:07 00:25:36:21 大声呼喊︰「玛塔吉‧涅玛拉‧德维万岁！」
00:25:37:19 00:25:42:01 蒙看着她，他不能举起双手，你明白
00:25:42:03 00:25:43:10 他有点害羞
00:25:43:16 00:25:45:23 她却做了三次，接着她举起他的手说︰
00:25:46:03 00:25:48:06 「你怎么了？这样高的男人？
00:25:48:11 00:25:50:06 为何神要给你这个高度？
00:25:50:12 00:25:51:17 只为要你高举双手。」
00:25:51:24 00:25:54:13 这个可怜的家伙，他要举起他的手
00:25:56:06 00:25:57:16 就是这样
00:25:59:11 00:26:00:22 对自己要有勇气
00:26:01:04 00:26:03:20 要有完全的信心
00:26:04:01 00:26:05:23 因为你是有自觉的灵
00:26:08:19 00:26:10:11 你是先知
00:26:12:02 00:26:14:11 不要对任何事失望或担忧
00:26:14:17 00:26:16:06 你现在是先知
00:26:16:14 00:26:18:04 假设！
00:26:20:04 00:26:23:00 梵文是viraj
00:26:25:13 00:26:30:13 这是渗透的能量
00:26:30:20 00:26:35:14 viraj意思是享受这个内在的能量
